preset,refDes,parameter,overlay
volcano,RS03ASHS-MJ03B-09-BOTPTA304,seafloor_uplift_10m,none
volcano,RS03CCAL-MJ03F-06-OBSBBA301,,none
volcano,RS03ECAL-MJ03E-09-OBSBBA302,,none
volcano,RS03AXBS-MJ03A-05-OBSBBA303,,none
volcano,RS03ASHS-MJ03B-06-OBSSPA301,,none
volcano,RS03ASHS-MJ03B-05-OBSSPA302,,none
volcano,RS03ECAL-MJ03E-05-OBSSPA303,,none
volcano,RS03ECAL-MJ03E-08-OBSSPA304,,none
volcano,RS03INT2-MJ03D-05-OBSSPA305,,none
volcano,RS03AXBS-MJ03A-05-HYDLFA301,,none
volcano,RS03ECAL-MJ03E-09-HYDLFA304,,none
volcano,RS03CCAL-MJ03F-06-HYDLFA305,,none
volcano,RS03AXBS-LJ03A-09-HYDBBA302,,none
volcano,RS03AXPS-PC03A-08-HYDBBA303,,none
volcano,RS03INT1-MJ03C-10-TRHPHA301,vent_temperature,none
volcano,RS03INT1-MJ03C-10-TRHPHA301,resistivity_5,none
volcano,RS03INT1-MJ03C-09-TRHPHA302,vent_temperature,none
volcano,RS03INT1-MJ03C-09-TRHPHA302,resistivity_5,none
volcano,RS03ASHS-MJ03B-07-TMPSFA301,temperature01,none
volcano,RS03AXBS-LJ03A-12-CTDPFB301,temperature,none
